tag,arm,task,n_ops,seed,position,window_k,natural_window,pr,null_mean,z,ratio,cos_consecutive
trained_count_ones_n32_ns128_seed1,trained,count_ones,32,1,mid,20,72,14.825581615673297,19.928054526044242,-610.155730430373,0.7439552915864188,0.192378647942371
trained_count_ones_n32_ns128_seed1,trained,count_ones,32,1,mid,30,72,18.76833435030582,29.83418867242773,-905.8082643984607,0.6290881430153055,0.30691633622807707
trained_count_ones_n32_ns128_seed1,trained,count_ones,32,1,mid,41,72,17.98184528074522,40.68604824341104,-1214.0002944664914,0.4419658840584823,0.4350660224148279
untrained_track_n4_ns128_seed0,untrained,track,4,0,mid,10,42,8.094363058853045,9.981593613500841,-428.9592195488121,0.8109289330217594,-0.3577639150327955
untrained_track_n4_ns128_seed0,untrained,track,4,0,mid,15,42,11.923444587424786,14.959828476839263,-721.7922153535786,0.7970308353390955,-0.3610173215178311
untrained_track_n4_ns128_seed0,untrained,track,4,0,mid,20,42,15.463732172884972,19.928054526044242,-533.8454341878139,0.7759780139438706,-0.36390450763751314
untrained_track_n4_ns128_seed0,untrained,track,4,0,mid,30,42,22.54304757088862,29.83418867242773,-596.8247615068018,0.755611215656169,-0.36710567246356385
untrained_track_n4_ns128_seed0,untrained,track,4,0,mid,41,42,29.423544874523795,40.68604824341104,-602.2093102647978,0.7231851247506899,-0.3794974609365227
untrained_local_n4_ns128_seed0,untrained,local,4,0,mid,10,41,7.996689457624995,9.981593613500841,-451.1600002907948,0.8011435615660492,-0.36952566539615056
untrained_local_n4_ns128_seed0,untrained,local,4,0,mid,15,41,11.821605148710296,14.959828476839263,-746.0009177960989,0.7902233081757889,-0.36780253008846425
untrained_local_n4_ns128_seed0,untrained,local,4,0,mid,20,41,15.525051748781605,19.928054526044242,-526.5128150288087,0.7790550617217404,-0.36293277356375775
untrained_local_n4_ns128_seed0,untrained,local,4,0,mid,30,41,21.968977774869987,29.83418867242773,-643.8159065588095,0.736369204340836,-0.36480625097134545
untrained_local_n4_ns128_seed0,untrained,local,4,0,mid,41,41,28.710563041524786,40.68604824341104,-640.3326549439024,0.7056611364603187,-0.3657686240360685
untrained_count_ones_n4_ns128_seed0,untrained,count_ones,4,0,mid,10,41,8.09401782936831,9.981593613500841,-429.03768869502863,0.8108943464118349,-0.3573585280249269
untrained_count_ones_n4_ns128_seed0,untrained,count_ones,4,0,mid,15,41,12.01660703115011,14.959828476839263,-699.6461596856236,0.8032583428181791,-0.35820773596066313
untrained_count_ones_n4_ns128_seed0,untrained,count_ones,4,0,mid,20,41,15.926335627648179,19.928054526044242,-478.52712994616763,0.7991916926378255,-0.3557722163005218
untrained_count_ones_n4_ns128_seed0,untrained,count_ones,4,0,mid,30,41,23.587398755345525,29.83418867242773,-511.3381911726651,0.7906163969910338,-0.35458844695343583
untrained_count_ones_n4_ns128_seed0,untrained,count_ones,4,0,mid,41,41,31.472758187624024,40.68604824341104,-492.6372821421144,0.7735516115827475,-0.3571105902718257
