file,family,num_steps,n_ops,floor_frac,window_lo,window_hi,n_steps,ambient,pr,null_mean,null_sd,z,ratio,cos_consecutive
projection_n2_ns128_init3.npy,projection,128,2,2.0,0,19,19,5280,14.800461971395743,18.9365873453091,0.006515418516142088,-634.821134462202,0.7815802130293587,0.055892140706254624
projection_n2_ns128_init4.npy,projection,128,2,2.0,0,19,19,5280,13.861821157761046,18.9365873453091,0.006515418516142088,-778.8856809390238,0.7320126327405473,0.10507830973657642
projection_n2_ns64_init0.npy,projection,64,2,2.0,0,20,20,5280,13.408029724414215,19.928054526044242,0.008362574759024093,-779.6671467234704,0.6728218104226421,0.3111070642666962
projection_n2_ns64_init1.npy,projection,64,2,2.0,0,21,21,5280,13.329457660054109,20.919456212671992,0.0069405654821520675,-1093.5706279460742,0.637179930708704,0.32772558069359586
projection_n2_ns64_init2.npy,projection,64,2,2.0,0,19,19,5280,12.409196085624545,18.9365873453091,0.006515418516142088,-1001.8376016080631,0.6553026614216476,0.30472525265478945
projection_n2_ns64_init3.npy,projection,64,2,2.0,0,22,22,5280,12.954468979736093,21.914697148349525,0.008992158692392978,-996.4490702542251,0.5911315539540432,0.31199904771178605
projection_n2_ns64_init4.npy,projection,64,2,2.0,0,20,20,5280,13.252923217299047,19.928054526044242,0.008362574759024093,-798.2148442430401,0.6650384863198072,0.3223127812429793
projection_n32_ns128_init0.npy,projection,128,32,2.0,0,24,24,5280,15.217510362665285,23.89758097448345,0.007304702135578562,-1188.2853606775668,0.636780366134703,0.03552188828680134
projection_n32_ns128_init1.npy,projection,128,32,2.0,0,23,23,5280,15.501737467898554,22.904989265816475,0.009138584098839546,-810.1092814649498,0.6767843148930626,0.00025568970682766294
projection_n32_ns128_init2.npy,projection,128,32,2.0,0,14,14,5280,10.52168868073084,13.9652975873415,0.005036228753579837,-683.7673733868589,0.7534167184713605,0.011559747720057304
projection_n32_ns128_init3.npy,projection,128,32,2.0,0,22,22,5280,17.962242039742613,21.914697148349525,0.008992158692392978,-439.5446348106087,0.8196436354173123,0.10788937343118081
projection_n32_ns128_init4.npy,projection,128,32,2.0,0,25,25,5280,13.616697189742625,24.88561808193411,0.010100851373965387,-1115.6406994797246,0.5471713479211417,0.11899961494469297
projection_n32_ns64_init0.npy,projection,64,32,2.0,0,25,25,5280,12.456076668130851,24.88561808193411,0.010100851373965387,-1230.5439367061663,0.5005331443695759,0.2721265614998793
projection_n32_ns64_init1.npy,projection,64,32,2.0,0,21,21,5280,13.955102206297498,20.919456212671992,0.0069405654821520675,-1003.4274619674145,0.6670872351760355,0.1998100927480212
projection_n32_ns64_init2.npy,projection,64,32,2.0,0,19,19,5280,13.384617215334865,18.9365873453091,0.006515418516142088,-852.1279356374592,0.7068125302234276,0.193997676192581
projection_n32_ns64_init3.npy,projection,64,32,2.0,0,22,22,5280,11.80569196576107,21.914697148349525,0.008992158692392978,-1124.2022664858312,0.5387111620043629,0.27296967160091384
projection_n32_ns64_init4.npy,projection,64,32,2.0,0,21,21,5280,12.72755451069557,20.919456212671992,0.0069405654821520675,-1180.2931220866965,0.6084075217493385,0.23672814555117
projection_n48_ns128_init0.npy,projection,128,48,2.0,0,21,21,5280,16.640302505113766,20.919456212671992,0.0069405654821520675,-616.5425163932587,0.795446226514907,0.12189510204726806
projection_n48_ns128_init1.npy,projection,128,48,2.0,0,20,20,5280,15.638100305451754,19.928054526044242,0.008362574759024093,-512.9944238720472,0.784727896293846,0.22251791636359253
projection_n48_ns128_init2.npy,projection,128,48,2.0,0,20,20,5280,13.323531327155797,19.928054526044242,0.008362574759024093,-789.7714985162285,0.6685816374971824,0.2033442056590526
projection_n48_ns128_init3.npy,projection,128,48,2.0,0,21,21,5280,16.86813267383114,20.919456212671992,0.0069405654821520675,-583.7166365275259,0.8063370530450616,0.062324229437054415
projection_n48_ns128_init4.npy,projection,128,48,2.0,0,24,24,5280,13.734908035151703,23.89758097448345,0.007304702135578562,-1391.2508341487387,0.5747405166161837,0.1870376138309448
projection_n4_ns128_init0.npy,projection,128,4,2.0,0,19,19,5280,14.990565903488765,18.9365873453091,0.006515418516142088,-605.6435871377998,0.7916191883012211,0.10199045862316468
