file,task,n_ops,num_steps,task_seed,arm,observed,null_mean,null_std,obs_minus_null,z,p_value,pr_real,pr_null
count_ones_n8_ns64_init3.npy,count_ones,8,64,3,calibration,0.5986690301374947,0.5983922345919406,0.0011074683075046365,0.00027679554555415375,0.24993541005054443,0.43,21.690768387595504,21.73948269878232
count_ones_n8_ns64_init4.npy,count_ones,8,64,4,real,0.615973773502087,0.5971412391641945,0.0010108230385891645,0.01883253433789256,18.630891480449122,0.0,18.875005423222465,22.81256624784359
count_ones_n8_ns64_init4.npy,count_ones,8,64,4,calibration,0.5977242461437628,0.597460247696957,0.0008604231684881822,0.0002639984468058021,0.30682396345703244,0.41,22.850452494301976,22.82460387611025
projection_n16_ns128_init0.npy,projection,16,128,0,real,0.6519823090448774,0.6494687095539179,0.0020431152411497784,0.0025135994909595283,1.2302778817043043,0.1,46.102089848740434,63.95332441767824
projection_n16_ns128_init0.npy,projection,16,128,0,calibration,0.6469955695972073,0.6492601336104219,0.002221081542698438,-0.0022645640132146205,-1.0195771608021895,0.85,64.59195142532957,63.592835514934485
projection_n16_ns128_init1.npy,projection,16,128,1,real,0.6394466213878564,0.630231903835096,0.0018424071845262837,0.009214717552760376,5.00145550351273,0.0,24.874744687151665,55.62719425749053
projection_n16_ns128_init1.npy,projection,16,128,1,calibration,0.6319605246643581,0.6305935225488595,0.0018558039056336885,0.0013670021154986722,0.7366091381470024,0.22,55.763952323642336,55.27192015196303
projection_n16_ns128_init2.npy,projection,16,128,2,real,0.6268624827854963,0.6215018528048405,0.0016940314333922736,0.0053606299806557844,3.1644217899317253,0.0,37.19806863325264,62.901058371126794
projection_n16_ns128_init2.npy,projection,16,128,2,calibration,0.6218990080815954,0.621425826902718,0.0016344336766130486,0.0004731811788774021,0.28950772714005174,0.35,62.6169076318387,62.67035182906205
projection_n16_ns128_init3.npy,projection,16,128,3,real,0.6381446975146118,0.6348786678740038,0.0019476387967804305,0.003266029640607959,1.6769175300917767,0.04,42.96111920759858,67.68152901647048
projection_n16_ns128_init3.npy,projection,16,128,3,calibration,0.6345532304427226,0.6354411545739259,0.0017253776230710647,-0.0008879241312033104,-0.5146259690228627,0.7,68.01598732388479,67.09399930167876
projection_n16_ns128_init4.npy,projection,16,128,4,real,0.6384081976337026,0.6271725954070944,0.002472636166460577,0.011235602226608243,4.5439771443169095,0.0,40.55337188552648,55.05997573537177
projection_n16_ns128_init4.npy,projection,16,128,4,calibration,0.6249404289388485,0.6272422447125912,0.0020725027799831435,-0.002301815773742666,-1.1106454456777073,0.86,55.11398423507888,54.74492187137168
projection_n16_ns64_init0.npy,projection,16,64,0,real,0.605085340959899,0.6037758758308983,0.0011350655108001992,0.0013094651290006531,1.1536471829520267,0.12,15.81528595791761,24.809758645496398
projection_n16_ns64_init0.npy,projection,16,64,0,calibration,0.601520673946752,0.6038352063434764,0.0011737914503869014,-0.0023145323967244114,-1.9718429504334034,0.98,24.758594132822818,24.916780268655472
projection_n16_ns64_init1.npy,projection,16,64,1,real,0.6107633792897142,0.6026520551845117,0.001023162034970905,0.008111324105202544,7.9277023853149515,0.0,17.202133708071838,23.962311616724715
projection_n16_ns64_init1.npy,projection,16,64,1,calibration,0.603368247445761,0.6024690946349027,0.0011794203033741752,0.0008991528108582836,0.7623684349726039,0.23,24.25354086290454,24.058259686018268
projection_n16_ns64_init2.npy,projection,16,64,2,real,0.6134912712030924,0.6038615985354832,0.001401850629572793,0.00962967266760928,6.86925729779347,0.0,13.836615231304554,17.975869724490583
projection_n16_ns64_init2.npy,projection,16,64,2,calibration,0.6029108782192932,0.6040549300929079,0.001389008346532635,-0.0011440518736146599,-0.8236465075753814,0.76,18.025145270967357,18.0969908099278
projection_n16_ns64_init3.npy,projection,16,64,3,real,0.6110161154966559,0.6015988797781748,0.0009745775999923139,0.009417235718481076,9.662889562160414,0.0,19.72193688315403,26.82465989243668
projection_n16_ns64_init3.npy,projection,16,64,3,calibration,0.6004166304307238,0.6016166492908112,0.0010660727934028768,-0.0012000188600873596,-1.125644390808371,0.88,26.683165953617266,26.92484043063869
projection_n16_ns64_init4.npy,projection,16,64,4,real,0.6066753332805965,0.6054056424158148,0.0011261962384214149,0.0012696908647816807,1.12741529536753,0.12,18.2801081725846,23.78327211013893
projection_n16_ns64_init4.npy,projection,16,64,4,calibration,0.603229415319938,0.6051513707483608,0.0010668028820011947,-0.0019219554284227724,-1.8016031460445756,0.97,23.83575338474201,23.876508958492845
projection_n24_ns128_init0.npy,projection,24,128,0,real,0.6450626558191779,0.6499128834294581,0.002390137531933405,-0.0048502276102802,-2.029267163700327,0.97,11.26598540873904,32.856830413857075
projection_n24_ns128_init0.npy,projection,24,128,0,calibration,0.6514346016411979,0.6500866554486815,0.002146378741929036,0.001347946192516436,0.6280094776306735,0.22,32.875702895967365,32.63511873117168
projection_n24_ns128_init1.npy,projection,24,128,1,real,0.6267480269209685,0.645510503172628,0.002107120075502105,-0.0187624762516595,-8.904322287940138,1.0,23.27640763891112,46.570296840389126
