task,n_ops,num_steps,init_seed,variant,observed,null_mean,null_std,z_score,p_value
count_ones,2,128,3,W2_fixedpoint,3.0597636162988473,0.33126821617031155,0.3397923865629711,8.029889744521643,0.0
count_ones,2,128,3,W3_sphere,1.101099360172503,0.9346457047372995,0.003531012783082933,47.14048508481257,0.0
count_ones,2,128,3,W4_turn2d_signed,8.404540817313364,0.4700616108340931,0.3495724942047737,22.697664541739908,0.0
count_ones,2,128,3,W5_turnfull_unsigned,36.26284166355914,30.500766815307525,0.02423532345389637,237.75522778612785,0.0
count_ones,2,128,3,W6_pc23,0.12329969955957261,1.1878852742096573,0.004486487254226493,-237.2871055517192,1.0
count_ones,2,128,3,W7_absturn_fixedpt,12.28497172047453,1.0179649445070436,0.30940077433172086,36.41557394387023,0.0
count_ones,2,128,3,W8_absturn_centroid,1.6895431591113639,0.7161123557396118,0.002842706719949196,342.4309643131771,0.0
count_ones,2,128,3,W9_windowed_maxnet,2.670263428033823,0.42180510509355906,0.23730374117394198,9.475022651632615,0.0
count_ones,2,128,4,W1_centroid,0.6200552872803583,0.7154735569063047,0.002916879617515635,-32.71244690832185,1.0
count_ones,2,128,4,W2_fixedpoint,6.5547357363987775,0.3529914516252923,0.31375642208292204,19.766111060300272,0.0
count_ones,2,128,4,W3_sphere,1.0824929649478776,0.9331687714104778,0.003757451692467796,39.740815254321355,0.0
count_ones,2,128,4,W4_turn2d_signed,9.906254591925304,0.49910099005752,0.35835720709411995,26.250772736369335,0.0
count_ones,2,128,4,W5_turnfull_unsigned,35.22617779698272,30.503110481028802,0.024955797914935067,189.25731535625815,0.0
count_ones,2,128,4,W6_pc23,2.169874925178496,1.1767769444565044,0.004110236304709225,241.61578729285435,0.0
count_ones,2,128,4,W7_absturn_fixedpt,12.595296373728251,1.0672778544393497,0.2651650846885798,43.47487352200933,0.0
count_ones,2,128,4,W8_absturn_centroid,2.707933811956854,0.7185737483530853,0.002885619597943977,689.4048214190119,0.0
count_ones,2,128,4,W9_windowed_maxnet,2.864547852155276,0.4010274063609854,0.21340354378537196,11.543952842095006,0.0
count_ones,2,64,0,W1_centroid,0.6163838760673371,0.6231306215640329,0.00283832569058521,-2.3770159707445995,0.99
count_ones,2,64,0,W2_fixedpoint,0.06090694040890666,0.39227153274006527,0.34467939561547456,-0.9613704693297943,0.58
count_ones,2,64,0,W3_sphere,0.9936437818120818,0.9481049870728404,0.0031929179824808094,14.262437992177611,0.0
count_ones,2,64,0,W4_turn2d_signed,6.275007887580222,0.6581676627883273,0.5198382080133314,10.804977660756807,0.0
