source,file,task,n_ops,num_steps,n_steps,regime_end,frac_signal,floor,cos_legacy,cos_regime,conv_rate_legacy,conv_rate_regime,dlr_legacy,dlr_regime,settle_legacy
results/trajectories/ (no matching CSV),count_ones_n24_ns128_init1.npy,count_ones,24,128,127,20,0.15748031496062992,1.0540363309938987,-0.3019075414041019,0.16754207048749212,-0.022766290003925722,-0.14232994646872565,19.205409515738324,3.773440050213196,15
results/trajectories/ (no matching CSV),count_ones_n24_ns128_init2.npy,count_ones,24,128,127,24,0.1889763779527559,1.0965997385689212,-0.30899394794237994,0.06740634416008195,-0.02173003970457784,-0.1431783967372722,18.760013157836795,4.39539921047655,16
results/trajectories/ (no matching CSV),count_ones_n24_ns128_init3.npy,count_ones,24,128,127,20,0.15748031496062992,1.077417912819885,-0.36515037041753773,0.07678233468482684,-0.021849802610568046,-0.15737394525162143,19.822448810378482,3.9420847220435355,13
results/trajectories/ (no matching CSV),count_ones_n24_ns128_init4.npy,count_ones,24,128,127,20,0.15748031496062992,0.9983828183362864,-0.3180878858753839,0.12683204004002144,-0.022186882389901904,-0.1479053735812868,19.432728248743153,3.822845589222235,16
results/trajectories/ (no matching CSV),count_ones_n24_ns64_init0.npy,count_ones,24,64,63,19,0.30158730158730157,1.2040177835425825,-0.28533738014389404,0.43308136527698976,-0.07578444373116021,-0.13645155277791846,12.979927454643327,4.501866087279295,16
results/trajectories/ (no matching CSV),count_ones_n24_ns64_init1.npy,count_ones,24,64,63,22,0.3492063492063492,1.0818742059775286,-0.28473435042201484,0.4655178196481974,-0.08166636642985024,-0.11761619649294801,12.590718557722811,4.96074381054329,17
results/trajectories/ (no matching CSV),count_ones_n24_ns64_init2.npy,count_ones,24,64,63,22,0.3492063492063492,1.0787591669603467,-0.32399372469750826,0.45602393229565924,-0.08233185587125308,-0.1168094846307605,12.50606019452832,4.924340095829353,17
results/trajectories/ (no matching CSV),count_ones_n24_ns64_init3.npy,count_ones,24,64,63,22,0.3492063492063492,1.0769645503098852,-0.336344995664872,0.4485300202696988,-0.08244710027853838,-0.12027926996774894,12.60419147926937,4.958765841849387,16
results/trajectories/ (no matching CSV),count_ones_n24_ns64_init4.npy,count_ones,24,64,63,21,0.3333333333333333,1.0800432765768555,-0.28755585375340215,0.46270340234604024,-0.07985919225180053,-0.11779469368978447,12.686659145807456,4.810455335761425,17
results/trajectories/ (no matching CSV),count_ones_n2_ns128_init0.npy,count_ones,2,128,127,15,0.11811023622047244,1.076470345117854,-0.37027630186303984,0.12620524803529926,-0.01655632349684206,-0.1876721432230449,23.101433591391462,3.854563599607363,10
results/trajectories/ (no matching CSV),count_ones_n2_ns128_init1.npy,count_ones,2,128,127,14,0.11023622047244094,1.0755823649744263,-0.3636527088692166,0.01052441676895733,-0.01617272400538143,-0.22832607445862946,23.248755220221376,3.656126070806821,11
results/trajectories/ (no matching CSV),count_ones_n2_ns128_init2.npy,count_ones,2,128,127,14,0.11023622047244094,1.0755823649744263,-0.3636527088692166,0.01052441676895733,-0.01617272400538143,-0.22832607445862946,23.248755220221376,3.656126070806821,11
results/trajectories/ (no matching CSV),count_ones_n2_ns128_init3.npy,count_ones,2,128,127,14,0.11023622047244094,1.0755823649744263,-0.3636527088692166,0.01052441676895733,-0.01617272400538143,-0.22832607445862946,23.248755220221376,3.656126070806821,11
