bank,tag,family,window,rank,rank_requested,rank_clamped,r2_linear,r2_scalar,r2_scalar_in_basis,r2_persistence,in_basis,rho,n_train,n_test,achieved
ds_bank,trained_local_n32_ns128_seed1,local,107,32,32,False,0.95892596947337,0.790791453513737,0.8011887612498282,0.8605846230238603,0.9642217945711782,0.6570665232991901,63,43,0.9945076691611567
ds_bank,trained_count_ones_n32_ns128_seed1,count_ones,108,2,2,False,0.38542046148033593,0.24135995598573223,0.10439216938906393,-0.008045339837804422,0.391497386597519,0.5640475582916897,64,43,0.9844777377187693
ds_bank,trained_count_ones_n32_ns128_seed1,count_ones,108,4,4,False,0.38918003707995874,0.24135995598573223,0.11309680788441057,-0.008045339837804422,0.42328737001635486,0.5640475582916897,64,43,0.9194227483445152
ds_bank,trained_count_ones_n32_ns128_seed1,count_ones,108,8,8,False,0.8901271813119535,0.24135995598573223,0.23133163750177343,-0.008045339837804422,0.8991327332854809,0.5640475582916897,64,43,0.9899841795986888
ds_bank,trained_count_ones_n32_ns128_seed1,count_ones,108,16,16,False,0.9129878613675555,0.24135995598573223,0.23760629621935803,-0.008045339837804422,0.9222363930222831,0.5640475582916897,64,43,0.9899716257949667
ds_bank,trained_count_ones_n32_ns128_seed1,count_ones,108,32,32,False,0.9449539308648536,0.24135995598573223,0.24396524470935121,-0.008045339837804422,0.9509602418422046,0.5640475582916897,64,43,0.9936839515333306
b6bank,count_mod3_i00,count_mod3,47,2,2,False,0.23925661537144138,0.036961776202576124,-0.011755535501976055,-0.5761678992431079,0.2912620422275727,0.30105995766000965,27,19,0.8214479770230487
b6bank,count_mod3_i00,count_mod3,47,4,4,False,0.26187993198384496,0.036961776202576124,-0.010761383181097317,-0.5761678992431079,0.3553864957436519,0.30105995766000965,27,19,0.7368876845921144
b6bank,count_mod3_i00,count_mod3,47,8,8,False,0.5625817645534532,0.036961776202576124,-0.022234598260491456,-0.5761678992431079,0.5897104918287968,0.30105995766000965,27,19,0.953996532788127
b6bank,count_mod3_i00,count_mod3,47,16,16,False,0.6639490335544865,0.036961776202576124,-0.012641068224644725,-0.5761678992431079,0.6812561864038871,0.30105995766000965,27,19,0.9745952356913499
b6bank,count_mod3_i00,count_mod3,47,27,32,True,0.7102104332601454,0.036961776202576124,-0.011966915050290794,-0.5761678992431079,0.726242081961315,0.30105995766000965,27,19,0.9779252000133702
b6bank,count_mod3_i01,count_mod3,48,2,2,False,0.004239703289949159,0.06574043469030066,-0.04147683384555578,-0.41734657692717114,0.13203113868790528,0.42964091241369395,28,19,0.03211138926833733
b6bank,count_mod3_i01,count_mod3,48,4,4,False,0.18170657544817126,0.06574043469030066,-0.062483765582679984,-0.41734657692717114,0.23212208547574964,0.42964091241369395,28,19,0.7828060611972857
b6bank,count_mod3_i01,count_mod3,48,8,8,False,0.22267171593073254,0.06574043469030066,-0.06097446156723696,-0.41734657692717114,0.32094883360771786,0.42964091241369395,28,19,0.6937919462978785
b6bank,count_mod3_i01,count_mod3,48,16,16,False,0.4888665547233423,0.06574043469030066,-0.06238162883810783,-0.41734657692717114,0.5165280501081777,0.42964091241369395,28,19,0.9464472541635596
b6bank,count_mod3_i01,count_mod3,48,28,32,True,0.5537821092164237,0.06574043469030066,-0.05904701059927042,-0.41734657692717114,0.5820096692049537,0.42964091241369395,28,19,0.9514998435900732
b6bank,count_mod3_i02,count_mod3,47,2,2,False,0.1154913170951466,0.12118979449029421,0.01865530530232129,-0.3036294952762588,0.23061878795333668,0.35475605687922845,27,19,0.500788847778157
b6bank,count_mod3_i02,count_mod3,47,4,4,False,0.28254487228396463,0.12118979449029421,0.023906912075668973,-0.3036294952762588,0.3366018582205541,0.35475605687922845,27,19,0.8394037804117845
b6bank,count_mod3_i02,count_mod3,47,8,8,False,0.49818981233812276,0.12118979449029421,0.02726980093092901,-0.3036294952762588,0.5197526041679107,0.35475605687922845,27,19,0.9585133548983202
b6bank,count_mod3_i02,count_mod3,47,16,16,False,0.5754114625049811,0.12118979449029421,0.04133590151383504,-0.3036294952762588,0.5952046143708529,0.35475605687922845,27,19,0.9667456343785343
b6bank,count_mod3_i02,count_mod3,47,27,32,True,0.6301403452838017,0.12118979449029421,0.04500267726047158,-0.3036294952762588,0.6509508259734518,0.35475605687922845,27,19,0.9680306409343141
b6bank,count_mod3_i03,count_mod3,48,2,2,False,0.08289176638246654,0.029530034776986236,-0.025794425123985443,-0.5303224725091484,0.14970965267741443,0.39489878430175906,28,19,0.5536835127196297
b6bank,count_mod3_i03,count_mod3,48,4,4,False,0.11410850212976265,0.029530034776986236,-0.043258290410905786,-0.5303224725091484,0.24369805942777556,0.39489878430175906,28,19,0.468237221082923
